question_number,question,code,source,tables,text_for_embedding,curl,timestamp,answer
27,Top 10 quốc gia có số lượng đối tác ít nhất là những quốc gia nào?,"{""measures"":[""crm_partners.partner_count""],""dimensions"":[""crm_partners.country""],""order"":{""crm_partners.partner_count"":""asc""},""limit"":10}",crm,"[""crm_partners""]",Top 10 quốc gia có số lượng đối tác ít nhất là những quốc gia nào?,,,
28,Số lượng đối tác active theo từng quốc gia là bao nhiêu?,"{""measures"":[""crm_partners.active_partner_count""],""dimensions"":[""crm_partners.country""]}",crm,"[""crm_partners""]",Số lượng đối tác active theo từng quốc gia là bao nhiêu?,,,
29,Số lượng đối tác expired theo từng quốc gia là bao nhiêu?,"{""measures"":[""crm_partners.expired_partner_count""],""dimensions"":[""crm_partners.country""]}",crm,"[""crm_partners""]",Số lượng đối tác expired theo từng quốc gia là bao nhiêu?,,,
30,Quốc gia nào có số lượng đối tác expired cao nhất?,"{""measures"":[""crm_partners.expired_partner_count""],""dimensions"":[""crm_partners.country""],""order"":{""crm_partners.expired_partner_count"":""desc""},""limit"":5}",crm,"[""crm_partners""]",Quốc gia nào có số lượng đối tác expired cao nhất?,,,
31,Quốc gia nào có số lượng đối tác active cao nhất?,"{""measures"":[""crm_partners.active_partner_count""],""dimensions"":[""crm_partners.country""],""order"":{""crm_partners.active_partner_count"":""desc""},""limit"":5}",crm,"[""crm_partners""]",Quốc gia nào có số lượng đối tác active cao nhất?,,,
32,So sánh số lượng đối tác active và expired theo loại partner_type là như thế nào?,"{""measures"":[""crm_partners.active_partner_count"",""crm_partners.expired_partner_count""],""dimensions"":[""crm_partners.partner_type""]}",crm,"[""crm_partners""]",So sánh số lượng đối tác active và expired theo loại partner type là như thế nào?,,,
33,Xu hướng số lượng đối tác active theo năm là như thế nào?,"{""measures"":[""crm_partners.active_partner_count""],""timeDimensions"":[{""dimension"":""crm_partners.effective_date"",""granularity"":""year""}]}",crm,"[""crm_partners""]",Xu hướng số lượng đối tác active theo năm là như thế nào?,,,
34,Xu hướng số lượng đối tác expired theo năm là như thế nào?,"{""measures"":[""crm_partners.expired_partner_count""],""timeDimensions"":[{""dimension"":""crm_partners.expiration_date"",""granularity"":""year""}]}",crm,"[""crm_partners""]",Xu hướng số lượng đối tác expired theo năm là như thế nào?,,,
35,Số lượng đối tác theo từng quốc gia và loại partner_type là bao nhiêu?,"{""measures"":[""crm_partners.partner_count""],""dimensions"":[""crm_partners.country"",""crm_partners.partner_type""]}",crm,"[""crm_partners""]",Số lượng đối tác theo từng quốc gia và loại partner type là bao nhiêu?,,,
36,Số lượng đối tác theo từng quốc gia và trạng thái lifecycle là bao nhiêu?,"{""measures"":[""crm_partners.partner_count""],""dimensions"":[""crm_partners.country"",""crm_partners.partner_lifecycle_bucket""]}",crm,"[""crm_partners""]",Số lượng đối tác theo từng quốc gia và trạng thái lifecycle là bao nhiêu?,,,
37,Xu hướng số lượng đối tác mới theo tháng trong năm 2025 là như thế nào?,"{""measures"":[""crm_partners.partner_count""],""timeDimensions"":[{""dimension"":""crm_partners.effective_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_partners""]",Xu hướng số lượng đối tác mới theo tháng trong năm 2025 là như thế nào?,,,
38,Loại partner_type nào có số lượng đối tác nhiều nhất?,"{""measures"":[""crm_partners.partner_count""],""dimensions"":[""crm_partners.partner_type""],""order"":{""crm_partners.partner_count"":""desc""},""limit"":1}",crm,"[""crm_partners""]",Loại partner type nào có số lượng đối tác nhiều nhất?,,,
39,Loại partner_type nào có số lượng đối tác ít nhất?,"{""measures"":[""crm_partners.partner_count""],""dimensions"":[""crm_partners.partner_type""],""order"":{""crm_partners.partner_count"":""asc""},""limit"":1}",crm,"[""crm_partners""]",Loại partner type nào có số lượng đối tác ít nhất?,,,
40,Quốc gia nào có sự thay đổi lớn về số lượng đối tác theo năm dựa trên effective_date?,"{""measures"":[""crm_partners.partner_count""],""dimensions"":[""crm_partners.country""],""timeDimensions"":[{""dimension"":""crm_partners.effective_date"",""granularity"":""year""}]}",crm,"[""crm_partners""]",Quốc gia nào có sự thay đổi lớn về số lượng đối tác theo năm dựa trên effective date?,,,
1,Tổng số deal được tạo trong năm 2025 là bao nhiêu?,"{""measures"":[""crm_deals.deal_count""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Tổng số deal được tạo trong năm 2025 là bao nhiêu?,,,
2,Tổng giá trị kỳ vọng của các deal trong năm 2025 là bao nhiêu?,"{""measures"":[""crm_deals.total_expected_deal_value""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Tổng giá trị kỳ vọng của các deal trong năm 2025 là bao nhiêu?,,,
3,Xu hướng số lượng deal theo tháng trong năm 2025 là như thế nào?,"{""measures"":[""crm_deals.deal_count""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng số lượng deal theo tháng trong năm 2025 là như thế nào?,,,
4,Xu hướng tổng giá trị pipeline có trọng số theo tháng trong năm 2025 là như thế nào?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng tổng giá trị pipeline có trọng số theo tháng trong năm 2025 là như thế nào?,,,
5,Số lượng deal theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Số lượng deal theo từng territory là bao nhiêu?,,,
6,Tổng giá trị deal quy đổi VND theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.total_vnd_amount""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Tổng giá trị deal quy đổi VND theo từng territory là bao nhiêu?,,,
7,Top 10 Khu vực/lãnh thổ có tổng giá trị deal VND cao nhất là những Khu vực/lãnh thổ nào?,"{""measures"":[""crm_deals.total_vnd_amount""],""dimensions"":[""crm_deals.market_name""],""order"":{""crm_deals.total_vnd_amount"":""desc""},""limit"":10}",crm,"[""crm_deals""]",Top 10 Khu vực/lãnh thổ có tổng giá trị deal VND cao nhất là những Khu vực/lãnh thổ nào?,,,
8,Top 10 Khu vực/lãnh thổ có số lượng deal nhiều nhất là những Khu vực/lãnh thổ nào?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.market_name""],""order"":{""crm_deals.deal_count"":""desc""},""limit"":10}",crm,"[""crm_deals""]",Top 10 Khu vực/lãnh thổ có số lượng deal nhiều nhất là những Khu vực/lãnh thổ nào?,,,
9,Giá trị deal kỳ vọng trung bình theo từng customer_segment_l1 là bao nhiêu?,"{""measures"":[""crm_deals.avg_expected_deal_value""],""dimensions"":[""crm_deals.customer_segment_l1""]}",crm,"[""crm_deals""]",Giá trị deal kỳ vọng trung bình theo từng customer_segment_l1 là bao nhiêu?,,,
10,Phân bố số lượng deal theo expected_deal_value_bucket là như thế nào?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.expected_deal_value_bucket""]}",crm,"[""crm_deals""]",Phân bố số lượng deal theo expected_deal_value_bucket là như thế nào?,,,
11,Phân bố số lượng deal theo probability_bucket là như thế nào?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.probability_bucket""]}",crm,"[""crm_deals""]",Phân bố số lượng deal theo probability_bucket là như thế nào?,,,
12,Tỷ lệ deal đã ký trên tổng số deal là bao nhiêu?,"{""measures"":[""crm_deals.signed_deal_rate""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã ký trên tổng số deal là bao nhiêu?,,,
13,Tỷ lệ deal đã FAC trên tổng số deal là bao nhiêu?,"{""measures"":[""crm_deals.fac_deal_rate""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã FAC trên tổng số deal là bao nhiêu?,,,
14,Tỷ lệ deal đã đóng trên tổng số deal là bao nhiêu?,"{""measures"":[""crm_deals.closed_deal_rate""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã đóng trên tổng số deal là bao nhiêu?,,,
15,Số lượng deal đã ký theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.signed_deal_count""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Số lượng deal đã ký theo từng territory là bao nhiêu?,,,
16,Số lượng deal đã FAC theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.fac_deal_count""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Số lượng deal đã FAC theo từng territory là bao nhiêu?,,,
17,Số lượng deal đã đóng theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.closed_deal_count""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Số lượng deal đã đóng theo từng territory là bao nhiêu?,,,
18,Số lượng deal quá hạn expected close nhưng chưa đóng là bao nhiêu?,"{""measures"":[""crm_deals.overdue_expected_close_count""]}",crm,"[""crm_deals""]",Số lượng deal quá hạn expected close nhưng chưa đóng là bao nhiêu?,,,
19,Tỷ lệ deal quá hạn expected close nhưng chưa đóng là bao nhiêu?,"{""measures"":[""crm_deals.overdue_expected_close_rate""]}",crm,"[""crm_deals""]",Tỷ lệ deal quá hạn expected close nhưng chưa đóng là bao nhiêu?,,,
20,Giá trị pipeline có trọng số theo từng stage của deal là bao nhiêu?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""dimensions"":[""crm_deals.deal_stage_name""]}",crm,"[""crm_deals""]",Giá trị pipeline có trọng số theo từng stage của deal là bao nhiêu?,,,
21,Xu hướng số lượng deal theo quý từ năm 2023 đến năm 2025 là như thế nào?,"{""measures"":[""crm_deals.deal_count""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""granularity"":""quarter"",""dateRange"":[""2023-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng số lượng deal theo quý từ năm 2023 đến năm 2025 là như thế nào?,,,
22,Xu hướng tổng giá trị deal quy đổi VND theo quý từ năm 2023 đến năm 2025 là như thế nào?,"{""measures"":[""crm_deals.total_vnd_amount""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""granularity"":""quarter"",""dateRange"":[""2023-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng tổng giá trị deal quy đổi VND theo quý từ năm 2023 đến năm 2025 là như thế nào?,,,
23,Tổng số deal theo từng deal_stage_name là bao nhiêu?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.deal_stage_name""]}",crm,"[""crm_deals""]",Tổng số deal theo từng deal_stage_name là bao nhiêu?,,,
24,Giá trị pipeline có trọng số theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Giá trị pipeline có trọng số theo từng territory là bao nhiêu?,,,
25,Territory nào có giá trị pipeline có trọng số cao nhất?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""dimensions"":[""crm_deals.territory_name""],""order"":{""crm_deals.weighted_pipeline_value"":""desc""},""limit"":1}",crm,"[""crm_deals""]",Territory nào có giá trị pipeline có trọng số cao nhất?,,,
26,Khu vực/lãnh thổ nào có tổng giá trị deal quy đổi VND thấp nhất?,"{""measures"":[""crm_deals.total_vnd_amount""],""dimensions"":[""crm_deals.market_name""],""order"":{""crm_deals.total_vnd_amount"":""asc""},""limit"":1}",crm,"[""crm_deals""]",Khu vực/lãnh thổ nào có tổng giá trị deal quy đổi VND thấp nhất?,,,
27,Số lượng deal theo từng customer_segment_l1 và territory là bao nhiêu?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.customer_segment_l1"",""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Số lượng deal theo từng customer_segment_l1 và territory là bao nhiêu?,,,
28,Số lượng deal theo từng deal_channel là bao nhiêu?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.deal_channel""]}",crm,"[""crm_deals""]",Số lượng deal theo từng deal_channel là bao nhiêu?,,,
29,Giá trị deal kỳ vọng trung bình theo từng deal_stage_name là bao nhiêu?,"{""measures"":[""crm_deals.avg_expected_deal_value""],""dimensions"":[""crm_deals.deal_stage_name""]}",crm,"[""crm_deals""]",Giá trị deal kỳ vọng trung bình theo từng deal_stage_name là bao nhiêu?,,,
30,Số lượng deal đã ký theo từng Khu vực/lãnh thổ là bao nhiêu?,"{""measures"":[""crm_deals.signed_deal_count""],""dimensions"":[""crm_deals.market_name""]}",crm,"[""crm_deals""]",Số lượng deal đã ký theo từng Khu vực/lãnh thổ là bao nhiêu?,,,
31,Số lượng deal đã FAC theo từng Khu vực/lãnh thổ là bao nhiêu?,"{""measures"":[""crm_deals.fac_deal_count""],""dimensions"":[""crm_deals.market_name""]}",crm,"[""crm_deals""]",Số lượng deal đã FAC theo từng Khu vực/lãnh thổ là bao nhiêu?,,,
32,Số lượng deal đã đóng theo từng Khu vực/lãnh thổ là bao nhiêu?,"{""measures"":[""crm_deals.closed_deal_count""],""dimensions"":[""crm_deals.market_name""]}",crm,"[""crm_deals""]",Số lượng deal đã đóng theo từng Khu vực/lãnh thổ là bao nhiêu?,,,
33,Tỷ lệ deal đã ký theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.signed_deal_rate""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã ký theo từng territory là bao nhiêu?,,,
34,Tỷ lệ deal đã FAC theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.fac_deal_rate""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã FAC theo từng territory là bao nhiêu?,,,
35,Tỷ lệ deal đã đóng theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.closed_deal_rate""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã đóng theo từng territory là bao nhiêu?,,,
36,Tỷ lệ deal quá hạn expected close theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.overdue_expected_close_rate""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Tỷ lệ deal quá hạn expected close theo từng territory là bao nhiêu?,,,
37,Khu vực/lãnh thổ nào có số lượng deal quá hạn expected close nhiều nhất?,"{""measures"":[""crm_deals.overdue_expected_close_count""],""dimensions"":[""crm_deals.market_name""],""order"":{""crm_deals.overdue_expected_close_count"":""desc""},""limit"":5}",crm,"[""crm_deals""]",Khu vực/lãnh thổ nào có số lượng deal quá hạn expected close nhiều nhất?,,,
38,Phân bố số lượng deal theo budget_amount_bucket là như thế nào?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.budget_amount_bucket""]}",crm,"[""crm_deals""]",Phân bố số lượng deal theo budget_amount_bucket là như thế nào?,,,
39,Giá trị pipeline có trọng số theo từng probability_bucket là bao nhiêu?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""dimensions"":[""crm_deals.probability_bucket""]}",crm,"[""crm_deals""]",Giá trị pipeline có trọng số theo từng probability_bucket là bao nhiêu?,,,
40,Tỉnh nào có số lượng deal nhiều nhất?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.company_province""],""order"":{""crm_deals.deal_count"":""desc""},""limit"":10}",crm,"[""crm_deals""]",Tỉnh nào có số lượng deal nhiều nhất?,,,
41,Số lượng deal được tạo theo từng territory trong năm 2025 là bao nhiêu?,"{""measures"":[""crm_deals.deal_count""],""dimensions"":[""crm_deals.territory_name""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Số lượng deal được tạo theo từng territory trong năm 2025 là bao nhiêu?,,,
42,Tổng giá trị pipeline có trọng số theo từng Khu vực/lãnh thổ trong năm 2025 là bao nhiêu?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""dimensions"":[""crm_deals.market_name""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Tổng giá trị pipeline có trọng số theo từng Khu vực/lãnh thổ trong năm 2025 là bao nhiêu?,,,
43,Tỷ lệ deal đã ký theo từng customer_segment_l1 là bao nhiêu?,"{""measures"":[""crm_deals.signed_deal_rate""],""dimensions"":[""crm_deals.customer_segment_l1""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã ký theo từng customer_segment_l1 là bao nhiêu?,,,
45,Tỷ lệ deal đã đóng theo từng customer_segment_l1 là bao nhiêu?,"{""measures"":[""crm_deals.closed_deal_rate""],""dimensions"":[""crm_deals.customer_segment_l1""]}",crm,"[""crm_deals""]",Tỷ lệ deal đã đóng theo từng customer_segment_l1 là bao nhiêu?,,,
46,Số lượng deal đã ký theo từng deal_channel là bao nhiêu?,"{""measures"":[""crm_deals.signed_deal_count""],""dimensions"":[""crm_deals.deal_channel""]}",crm,"[""crm_deals""]",Số lượng deal đã ký theo từng deal_channel là bao nhiêu?,,,
48,Số lượng deal đã đóng theo từng deal_channel là bao nhiêu?,"{""measures"":[""crm_deals.closed_deal_count""],""dimensions"":[""crm_deals.deal_channel""]}",crm,"[""crm_deals""]",Số lượng deal đã đóng theo từng deal_channel là bao nhiêu?,,,
50,Giá trị pipeline có trọng số theo từng probability_bucket là bao nhiêu?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""dimensions"":[""crm_deals.probability_bucket""]}",crm,"[""crm_deals""]",Giá trị pipeline có trọng số theo từng probability_bucket là bao nhiêu?,,,
51,Xu hướng số lượng deal đã ký theo tháng trong năm 2025 là như thế nào?,"{""measures"":[""crm_deals.signed_deal_count""],""timeDimensions"":[{""dimension"":""crm_deals.sign_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng số lượng deal đã ký theo tháng trong năm 2025 là như thế nào?,,,
52,Xu hướng số lượng deal đã FAC theo tháng trong năm 2025 là như thế nào?,"{""measures"":[""crm_deals.fac_deal_count""],""timeDimensions"":[{""dimension"":""crm_deals.fac_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng số lượng deal đã FAC theo tháng trong năm 2025 là như thế nào?,,,
53,Xu hướng số lượng deal đã đóng theo tháng trong năm 2025 là như thế nào?,"{""measures"":[""crm_deals.closed_deal_count""],""timeDimensions"":[{""dimension"":""crm_deals.closed_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng số lượng deal đã đóng theo tháng trong năm 2025 là như thế nào?,,,
54,Số lượng deal quá hạn expected close theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.overdue_expected_close_count""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Số lượng deal quá hạn expected close theo từng territory là bao nhiêu?,,,
55,Số lượng deal quá hạn expected close theo từng stage của deal là bao nhiêu?,"{""measures"":[""crm_deals.overdue_expected_close_count""],""dimensions"":[""crm_deals.deal_stage_name""]}",crm,"[""crm_deals""]",Số lượng deal quá hạn expected close theo từng stage của deal là bao nhiêu?,,,
56,Giá trị deal trung bình theo từng territory là bao nhiêu?,"{""measures"":[""crm_deals.avg_vnd_amount""],""dimensions"":[""crm_deals.territory_name""]}",crm,"[""crm_deals""]",Giá trị deal trung bình theo từng territory là bao nhiêu?,,,
57,Giá trị deal trung bình theo từng market là bao nhiêu?,"{""measures"":[""crm_deals.avg_vnd_amount""],""dimensions"":[""crm_deals.market_name""]}",crm,"[""crm_deals""]",Giá trị deal trung bình theo từng market là bao nhiêu?,,,
58,Tỉnh nào có tổng giá trị deal quy đổi VND cao nhất?,"{""measures"":[""crm_deals.total_vnd_amount""],""dimensions"":[""crm_deals.company_province""],""order"":{""crm_deals.total_vnd_amount"":""desc""},""limit"":10}",crm,"[""crm_deals""]",Tỉnh nào có tổng giá trị deal quy đổi VND cao nhất?,,,
59,Xu hướng xác suất thành công trung bình của deal theo tháng trong năm 2025 là như thế nào?,"{""measures"":[""crm_deals.avg_probability""],""timeDimensions"":[{""dimension"":""crm_deals.deal_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",crm,"[""crm_deals""]",Xu hướng xác suất thành công trung bình của deal theo tháng trong năm 2025 là như thế nào?,,,
60,Giá trị pipeline có trọng số theo từng customer_segment_l1 là bao nhiêu?,"{""measures"":[""crm_deals.weighted_pipeline_value""],""dimensions"":[""crm_deals.customer_segment_l1""]}",crm,"[""crm_deals""]",Giá trị pipeline có trọng số theo từng customer_segment_l1 là bao nhiêu?,,,
1,Tổng số deal thất bại theo tất cả các lý do là bao nhiêu?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""]}",crm,"[""crm_deal_failure_reason_stats""]",Tổng số deal thất bại theo tất cả các lý do là bao nhiêu?,,,
2,Tổng số dòng thống kê lý do thất bại của deal trong hệ thống là bao nhiêu?,"{""measures"":[""crm_deal_failure_reason_stats.failure_reason_row_count""]}",crm,"[""crm_deal_failure_reason_stats""]",Tổng số dòng thống kê lý do thất bại của deal trong hệ thống là bao nhiêu?,,,
3,Số deal thất bại trung bình trên mỗi lý do thất bại là bao nhiêu?,"{""measures"":[""crm_deal_failure_reason_stats.avg_failed_deals""]}",crm,"[""crm_deal_failure_reason_stats""]",Số deal thất bại trung bình trên mỗi lý do thất bại là bao nhiêu?,,,
4,Lý do thất bại nào có số deal thất bại nhiều nhất?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failure_reason_name""],""order"":{""crm_deal_failure_reason_stats.total_failed_deals"":""desc""},""limit"":1}",crm,"[""crm_deal_failure_reason_stats""]",Lý do thất bại nào có số deal thất bại nhiều nhất?,,,
5,Lý do thất bại nào có số deal thất bại ít nhất?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failure_reason_name""],""order"":{""crm_deal_failure_reason_stats.total_failed_deals"":""asc""},""limit"":1}",crm,"[""crm_deal_failure_reason_stats""]",Lý do thất bại nào có số deal thất bại ít nhất?,,,
6,Tổng số deal thất bại theo từng lý do thất bại là bao nhiêu?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failure_reason_name""]}",crm,"[""crm_deal_failure_reason_stats""]",Tổng số deal thất bại theo từng lý do thất bại là bao nhiêu?,,,
7,Top 5 lý do thất bại có số deal thất bại cao nhất là gì?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failure_reason_name""],""order"":{""crm_deal_failure_reason_stats.total_failed_deals"":""desc""},""limit"":5}",crm,"[""crm_deal_failure_reason_stats""]",Top 5 lý do thất bại có số deal thất bại cao nhất là gì?,,,
8,Cơ cấu số deal thất bại theo nhóm volume bucket là như thế nào?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failed_deal_volume_bucket""]}",crm,"[""crm_deal_failure_reason_stats""]",Cơ cấu số deal thất bại theo nhóm volume bucket là như thế nào?,,,
9,Số lượng lý do thất bại theo từng failed deal volume bucket là bao nhiêu?,"{""measures"":[""crm_deal_failure_reason_stats.failure_reason_row_count""],""dimensions"":[""crm_deal_failure_reason_stats.failed_deal_volume_bucket""]}",crm,"[""crm_deal_failure_reason_stats""]",Số lượng lý do thất bại theo từng failed deal volume bucket là bao nhiêu?,,,
,,,,,,,,
11,Số deal thất bại lớn nhất trong một lý do thất bại là bao nhiêu?,"{""measures"":[""crm_deal_failure_reason_stats.max_failed_deals""]}",crm,"[""crm_deal_failure_reason_stats""]",Số deal thất bại lớn nhất trong một lý do thất bại là bao nhiêu?,,,
12,Số deal thất bại nhỏ nhất trong một lý do thất bại là bao nhiêu?,"{""measures"":[""crm_deal_failure_reason_stats.min_failed_deals""]}",crm,"[""crm_deal_failure_reason_stats""]",Số deal thất bại nhỏ nhất trong một lý do thất bại là bao nhiêu?,,,
13,Lý do thất bại nào có số deal thất bại lớn hơn mức trung bình?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failure_reason_name""],""order"":{""crm_deal_failure_reason_stats.total_failed_deals"":""desc""}}",crm,"[""crm_deal_failure_reason_stats""]",Lý do thất bại nào có số deal thất bại lớn hơn mức trung bình?,,,
14,Có bao nhiêu lý do thất bại thuộc nhóm failed deal volume bucket từ 100 đến 499 deal?,"{""measures"":[""crm_deal_failure_reason_stats.failure_reason_row_count""],""filters"":[{""member"":""crm_deal_failure_reason_stats.failed_deal_volume_bucket"",""operator"":""equals"",""values"":[""100_to_499""]}]}",crm,"[""crm_deal_failure_reason_stats""]",Có bao nhiêu lý do thất bại thuộc nhóm failed deal volume bucket từ 100 đến 499 deal?,,,
15,Có bao nhiêu lý do thất bại thuộc nhóm dưới 10 deal thất bại?,"{""measures"":[""crm_deal_failure_reason_stats.failure_reason_row_count""],""filters"":[{""member"":""crm_deal_failure_reason_stats.failed_deal_volume_bucket"",""operator"":""equals"",""values"":[""lt_10""]}]}",crm,"[""crm_deal_failure_reason_stats""]",Có bao nhiêu lý do thất bại thuộc nhóm dưới 10 deal thất bại?,,,
16,Những lý do thất bại nào thuộc nhóm có từ 500 deal thất bại trở lên?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failure_reason_name""],""filters"":[{""member"":""crm_deal_failure_reason_stats.failed_deal_volume_bucket"",""operator"":""equals"",""values"":[""gte_500""]}]}",crm,"[""crm_deal_failure_reason_stats""]",Những lý do thất bại nào thuộc nhóm có từ 500 deal thất bại trở lên?,,,
18,Nhóm failed deal volume bucket nào có tổng số deal thất bại cao nhất?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failed_deal_volume_bucket""],""order"":{""crm_deal_failure_reason_stats.total_failed_deals"":""desc""},""limit"":1}",crm,"[""crm_deal_failure_reason_stats""]",Nhóm failed deal volume bucket nào có tổng số deal thất bại cao nhất?,,,
19,Nhóm failed deal volume bucket nào có tổng số deal thất bại thấp nhất?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failed_deal_volume_bucket""],""order"":{""crm_deal_failure_reason_stats.total_failed_deals"":""asc""},""limit"":1}",crm,"[""crm_deal_failure_reason_stats""]",Nhóm failed deal volume bucket nào có tổng số deal thất bại thấp nhất?,,,
20,Cơ cấu số deal thất bại theo từng lý do thất bại để phát hiện lý do bất thường là như thế nào?,"{""measures"":[""crm_deal_failure_reason_stats.total_failed_deals""],""dimensions"":[""crm_deal_failure_reason_stats.failure_reason_name""],""order"":{""crm_deal_failure_reason_stats.total_failed_deals"":""desc""}}",crm,"[""crm_deal_failure_reason_stats""]",Cơ cấu số deal thất bại theo từng lý do thất bại để phát hiện lý do bất thường là như thế nào?,,,
